example_id,is_challenging,challenging_types,article_excerpt,summary_A,summary_B,annotator_name,faithfulness_A,faithfulness_B,coverage_A,coverage_B,fluency_A,fluency_B,overall_preference,notes
ex_025,no,,"Paul Gregory, 51, of Bedford, has been fined £795 for having a blue badge, claiming he could only walk 200 metres, when in fact he was a keen walker . A disability badge holder who claimed he could only walk 200 metres ended up in court after council officials noticed a newspaper report recounting his exploits on a 191-mile hike. When Paul Gregory, 51, applied to renew his blue badge, he claimed exercise left him breathless, despite being a keen walker and member of a mountaineering club. He was exposed when Bedford Borough Council staff read an article in The Westmorland Gazette, describing how the 'experienced walker' had been attacked by cows in Cumbria on the third day of a […]","Paul Gregory, 51, from Bedford, was fined £795 and ordered to perform 150 hours of unpaid work for dishonestly obtaining a blue badge by claiming he could only walk 200 metres, despite being a keen walker and member of a mountaineering club. He was exposed when council officials discovered a newspaper article detailing his 191-mile hike and another weekend walking trip in Wales. Gregory pleaded guilty to two counts of misrepresenting his physical abilities at Luton Magistrates' Court. Bedford Borough Council described the case as one of the most outrageous instances of blue badge fraud they had investigated.","Paul Gregory, 51, claimed exercise left him breathless, despite being a keen walker and member of a mountaineering club. He was exposed when Bedford Borough Council staff read an article in The Westmorland Gazette, describing how the 'experienced walker' had been attacked by cows in Cumbria. He pleaded guilty to two counts of dishonestly obtaining a blue badge by misrepresenting his physical abilities at Luton Magistrates' Court. Gregory was fined £795 and ordered to carry out 150 hours of unpaid work.",,,,,,,,,
ex_026,yes,multi_entity,"A man has been arrested in connection with the death of a transgender escort who was found strangled and beaten last month. Vanessa Santillan's body was found in a £400,000 flat in Fulham, south west London, at the end of March. The 33-year-old Mexican national, who worked as a transgender escort, died as a result of injuries to the head and neck. Vanessa Santillan, 33, was killed at the end of March. Her body was found in a flat in Fulham having been strangled and beaten to death . A 23-year-old man was arrested in connection with her death but has been bailed. He has been told to return to a London police station for further questioning at a later […]","Vanessa Santillan's body was found in a £400,000 flat in Fulham, London. The 33-year-old, who worked as a transgender escort, died as a result of injuries to the head and neck. A man, 23, has been arrested in connection with her death but has been bailed. Scotland Yard is appealing to anyone who may have had contact with her before her death.","A 23-year-old man has been arrested and bailed in connection with the death of Vanessa Santillan, a 33-year-old transgender escort found strangled and beaten in a Fulham flat in March. Santillan, a Mexican national working in London, Paris, and Miami, died from head and neck injuries. Scotland Yard is appealing for information about her final hours, emphasizing they will do 'everything' to solve the case. Detective Chief Inspector Rebecca Reeves urged anyone who saw Santillan on the days before her death to come forward.",,,,,,,,,
ex_027,no,,"Edinson Cavani found a novel way of burying bad news, as the PSG striker overcame another disappointing night's work against Barcelona with a day out at the zoo. The Uruguayan has struggled in the shadow of Zlatan Ibrahimovic during his time in the French capital, and continued to toil at the Camp Nou, as Laurent Blanc's side went down to a comfortable 2-0 second-leg defeat. But rather than wallow in self-pity, the 28-year-old put on his cardigan and headed for a local zoo. Edinson Cavani strokes the head of a male goat at the animal sanctuary he visited after Barcelona defeat . Cavani perches himself on a wooden fence for a photo opportunity with the llamas his South American friends […]",PSG lost 2-0 to Barcelona in the Champions League last 16 second leg. Edinson Cavani has struggled in the shadow of Zlatan Ibrahimovic. The 28-year-old has scored 18 goals for the Ligue 1 side this season. Manchester United are said to be monitoring his situation closely.,"Edinson Cavani, PSG's striker, visited a zoo after a disappointing 2-0 defeat to Barcelona, where he struggled to perform. The 28-year-old posed for pictures with various animals, including goats, bears, and llamas. Despite scoring 18 goals this season, Cavani's performance has been questioned by the media, and his future at the club is uncertain, with Manchester United reportedly monitoring his situation. Cavani, however, has expressed his desire to stay at PSG for the duration of his contract.",,,,,,,,,
ex_028,yes,numeric_heavy; multi_entity; long_article,"Tesla founder Elon Musk has unveiled a 'revolutionary' $3,000 (£1,980) battery which he claims can run an entire home for eight hours. Musk introduced the Powerwall device at a press conference in California last night and said the technology could 'change the world'. The device, which could be in homes by the end of summer, will be able to store electricity at night when it is cheaper. Scroll down for video . Tesla has unveiled a $3,000 (£1,980) home battery that can power an entire house for eight hours. Powerwall is three feet wide and four feet tall, weighs 220lbs, and can be installed on an outside or inside wall. The left images shows the 10kWh version while on the […]","Tesla founder Elon Musk has unveiled a $3,000 (£1,980) battery. He claims it can run an entire home for eight hours. Powerwall is three feet wide and four feet tall, and weighs 220lbs. It can be installed either on an outside or inside wall of a home. The technology powers up overnight when electricity rates are cheaper. Users can then switch the battery on during the day to use the home.","Tesla founder Elon Musk has unveiled the Powerwall, a $3,000 home battery that can power a house for eight hours, storing electricity at night when rates are cheaper. The device, available in 7kWh and 10kWh versions, can be installed on an interior or exterior wall and used for daily energy needs or as emergency backup power. Musk claims the technology could revolutionize energy use, allowing homeowners to store renewable energy and reduce reliance on the grid. Tesla also introduced the Powerpack, a scalable system for businesses and utilities, aiming to transform the global energy infrastructure to zero carbon.",,,,,,,,,
ex_029,no,,"Burglars gutted a family home in what police have described as the worst case of 'mindless destruction' they have ever witnessed. The intruders broke into a home in Hatfield Peverel, Essex, flooded the kitchen, dumped the TV in a bath filled with water and slashed sofas and chairs in a wanton wrecking spree. They stole jewellery including a wedding ring and watches, a computer, laptop and tablet from the house and left thousands of pounds in damage. These photos show the scenes left by mindless burglars after they ransacked a home - leaving the owners with thousands of pounds worth of damage . The intruders broke into home in Hatfield Peverel, Essex, flooded the kitchen, dumped the TV in a […]","Burglars caused extensive damage to a family home in Hatfield Peverel, Essex, flooding the kitchen, slashing furniture, and stealing valuable items including jewellery, electronics, and sentimental heirlooms. The intruders also left behind signs of their presence, such as bread and butter on the sideboard, and caused thousands of pounds in damage. The victim described the scene as ""mindless destruction,"" and Detective Constable Nick Campbell called it one of the worst examples of vandalism he has seen in his career. The police are determined to catch the perpetrators before they strike again.","intruders broke into a home in Hatfield Peverel, Essex, flooded the kitchen, dumped the TV in a bath filled with water and slashed sofas and chairs. They stole jewellery including a wedding ring and watches, a computer, laptop and tablet from the house and left thousands of pounds in damage. The group even stopped for some toast - leaving bread and butter out on the sideboard.",,,,,,,,,
ex_030,no,,"An American woman proved that she is no arachnophobe when she posed with her rather snappy pet tarantula and allowed it to bite her hand. Footage shows exotic pet owner Kayonna Cole holding her female rose hair spider up to the camera as it digs its fangs into her skin. Kayonna, who filmed the moment at her home in Los Angeles, remains calm throughout the video, but later suffered a reaction to the spider's venom. Kayonna holds her hand steady and remains calm as the tarantula removes its fangs from her skin . Clearly visible are the tarantula’s fangs, which it immediately begins to use to pinch away at Kayonna’s hand. Unflinching, Kayonna holds her hand steady as the tarantula […]","Kayonna Cole, an exotic pet owner from Los Angeles, calmly allowed her pet tarantula, a female rose hair spider, to bite her hand while filming. The video shows the spider digging its fangs into her skin, with Kayonna remaining unflinching despite the spider's aggressive behavior. Later, she experienced a reaction to the venom, describing symptoms like redness, soreness, and itching, but noted the tarantula's venom is low toxicity, similar to a bee sting. Cole shared that the spider might have been testing its fangs or showing aggression during the incident.","Kayonna Cole filmed the moment at her home in Los Angeles. She remains calm throughout the video, but later suffered a reaction to the spider's venom. Kayonna said that the particular type of tarantula has low toxicity venom similar to that of a bee sting.",,,,,,,,,
ex_031,no,,"It looks like something straight out of a Hollywood movie, and on April 1st, most cynics may assume the Research Vessel Flip is a poorly considered joke. But the 355-foot scientific platform is genuine and has been used by the US Office for Naval Research for more than 50 years. The RV Flip does not have its own engine and has to be towed to the location of scientific study, where it turns 90 degrees, leaving just 50 feet above the surface. The reason behind the flip, is that with 300 feet below the surface, the vessel becomes incredibly stable. Instead of bobbing up and down on the waves like a traditional boat, it keeps its position. Scroll down for […]","The Research Vessel Flip (RV Flip), a 355-foot scientific platform, has been used by the US Office for Naval Research for over 50 years. It lacks an engine and is towed to its destination, where it flips 90 degrees, leaving only 50 feet above the surface, providing exceptional stability for research. The vessel uses ballast tanks to shift its center of gravity, completing the flip in 20 minutes. It accommodates five crew and eleven researchers for up to 30 days, conducting studies in underwater acoustics, oceanography, meteorology, and marine mammal observation. Launched in 1962, it was initially vital for submarine development during the Cold War and has since been used for marine life and weather research.","Vessel has been used by the US Office for Naval Research for more than 50 years. It is used to measure underwater acoustics as well as water temperature. It can be also used for oceanography, meteorology and marine mammal observation. The vessel can accommodate five crew and up to eleven researchers for up to 30 days.",,,,,,,,,
ex_032,no,,"A man who lost his sight 12 years ago has discovered a love of painting and can create amazing images just by touch. John Bramblitt, 42, had epilepsy from the age of 11 and over the next 19 years it slowly caused him to lose his eyesight. At the age of 30, the artist from Denton in Texas was completely blind. Despite this, he decided that an inability to see should not prevent him from painting. Scroll down for video . Artist John Bramblitt, right, discovered his love of painting after losing his sight some 12 years ago . The artist uses a special technique using a fabric paint to create an outline before colouring in the work . Despite […]","John Bramblitt, who lost his sight 12 years ago due to epilepsy, has developed a unique painting technique using touch. He uses fabric paint with raised edges to create outlines and different textured paints to fill in colors, based on a mental image. Bramblitt's method allows him to produce highly accurate paintings, including one of his guide dog, which he has never seen. His artwork has gained recognition, and he sells limited edition prints and originals, fostering connections and optimism for his future.","John Bramblitt, 42, developed epilepsy aged 11 which slowly caused him to lose his eyesight. At the age of 30, the artist from Denton in Texas was completely blind. Despite this, he decided that an inability to see should not prevent him from painting. The artist uses a special technique to transfer the scene which he imagines onto the canvas.",,,,,,,,,
ex_033,no,,"Children's soft toys act as a reservoir for bacteria and bring germs into hospitals, scientists have warned. A team of researchers at Vanderbilt University in Tennessee explored how best to minimise the risk of infection after surgery. They note that despite hand washing and other protocols, surgical-site infections continue to pose a problem. Children's toys could act as a reservoir for bacteria and bring germs into hospitals, scientists at Vanderbilt University in Tennessee, have warned . The researchers concluded this implied one of two scenarios. Firstly, that current infection prevention methods are not effective. And secondly that there are alternative sources of bacterial exposure to the surgical wound. Their study revealed that soft toys brought into the operating theatre by […]","Researchers at Vanderbilt University found that children's soft toys can harbor bacteria, potentially increasing the risk of surgical-site infections. Their study revealed that all tested toys showed bacterial growth, but a simple wash and dry cycle followed by sealing in a plastic bag sterilized 79% of them. The team urged parents to clean their child's toys before bringing them into the operating room to minimize infection risks. Future studies will explore the correlation between bacteria on toys and surgical infections, as well as the impact of providing sterile toys.",Researchers at Vanderbilt University in Tennessee explored how best to minimise the risk of infection after surgery. Study revealed that soft toys brought into the operating theatre by children served as a breeding ground for bacteria. Researchers urged parents to wash and sterilise their child's toys before bringing them into the theatre.,,,,,,,,,
ex_034,yes,multi_entity; long_article,"Chelsea welcome Manchester United on Saturday tea-time with the stakes sky-high for the Premier League rivals. For Jose Mourinho’s men it is about seeing home a title bid which, in recent matches, has had to rely on one or two last-gasp interventions. Louis van Gaal's United, meanwhile, have hit top gear and it appears that all roads lead to the Champions League. Here, Sportsmail asks 10 key questions ahead of this weekend’s big match… . Premier League leaders Chelsea host a resurgent Manchester United in the Premier League on Saturday . Blues veteran Didier Drogba celebrates after handing Chelsea the lead at Old Trafford in their previous clash . Robin van Persie rescued a draw with an injury time equaliser […]","Premier League leaders Chelsea host a resurgent Manchester United on Saturday, with both teams having high stakes in the match. United, currently in top form, are aiming for a Champions League spot, while Chelsea seeks to solidify their title bid. Key players like Angel di Maria and Juan Mata are in focus, with Mata's recent success at United contrasting Di Maria's slump. A United victory could significantly impact the title race, potentially narrowing the gap with Chelsea and increasing pressure on the Blues. The match also features managerial egos clashing between Jose Mourinho and Louis van Gaal.",Chelsea host Manchester United in the Premier League on Saturday. Jose Mourinho's men are seven points clear at the top of the table. Louis van Gaal's United have won four games in a row without Angel di Maria. Juan Mata could return to haunt his former club after being pushed out at Stamford Bridge.,,,,,,,,,
ex_035,no,,"The first high-resolution footage of solar flux ropes on the sun has been revealed. In the fascinating video, twisting groups of magnetic fields can be seen writhing around. And with the new images it may be possible to further understand their evolution and how they cause space weather. Research led by a scientist at the New Jersey Institute of Technology has revealed the first high-resolution footage of a solar flux 'rope' taking shape on the sun, shown in this still image . The new footage was revealed in a paper in Nature Communications led by Dr Haimin Wang from the New Jersey Institute of Technology. A solar flare accompanies the twisting flux rope in the footage, which moves around a […]","Fascinating video shows twisting groups of magnetic fields writhing around. They are essentially twisted bundles of magnetic field that extend out of and back into the surface across hundreds of kilometres. As common structures in the solar corona, they are thought to be the main cause of several types of solar weather - including solar flares and CMEs.","Researchers from the New Jersey Institute of Technology, led by Dr. Haimin Wang, have captured the first high-resolution footage of solar flux ropes, revealing their twisting magnetic fields and formation process. The video shows an S-shaped bundle of magnetic fields evolving into a multi-stranded flux rope, accompanied by a solar flare. These structures, common in the solar corona, are believed to cause solar flares and coronal mass ejections (CMEs), impacting space weather and potentially damaging satellites, airlines, and electricity grids. The study, published in *Nature Communications*, aims to enhance understanding of flux rope formation and their role in solar eruptions.",,,,,,,,,
ex_036,yes,multi_entity,Manchester United manager Louis van Gaal says that Wayne Rooney suffered a knee injury during the defeat by Everton at Goodison Park on Sunday. The England international was replaced by Robin van Persie in the closing stages of the Premier League clash and was seen receiving treatment on the bench. And Van Gaal confirmed to MUTV after the game that Rooney had sustained the injury but that it was too early to know the severity. Wayne Rooney winces after injuring his knee during the defeat by Everton at Goodison Park . Rooney waits on the touchline to be replaced by Robin van Persie in the 88th minute . West Brom (home) - May 2 . Crystal Palace (away) - May […],"Manchester United's Wayne Rooney sustained a knee injury during their 3-0 defeat to Everton on Sunday, being replaced by Robin van Persie in the 88th minute. Manager Louis van Gaal confirmed the injury but stated it was too early to determine its severity. The loss marked United's first back-to-back league defeats under Van Gaal, leaving them fourth in the race for Champions League qualification, with Liverpool now applying pressure. The injury adds to a miserable afternoon for United, who saw Everton climb into the top half of the table.",Wayne Rooney suffered a knee injury during Manchester United's defeat by Everton at Goodison Park on Sunday. The England international was replaced by Robin van Persie in the closing stages of the Premier League clash and was seen receiving treatment on the bench. Louis van Gaal confirmed after the game that Rooney had sustained the injury but that it was too early to know the severity.,,,,,,,,,
ex_037,yes,multi_entity,"(CNN)Much like the ardent young royal-watchers of today, enamored by the Duchess of Cambridge's very being, I was similarly captivated by Diana, Princess of Wales when I was a youngster. She was a rare breed: stunningly beautiful, immediately accessible, witty, charming and endearingly mischievous -- she was one in a million. Of course that was long before the, ""there were three of us in this marriage, so it was a bit crowded,"" interviews and tell-all books alleging suicide attempts and acts of betrayal, but back then I was unaware of her more scandalous infamy. I simply adored her ... I still do. As the world awaits the impending birth of William and Kate's second baby, potential names have become the […]","As the world awaits the birth of William and Kate's second child, speculation about potential names is rampant, with many believing the couple is expecting a princess. If a girl, she will be the first Princess of Cambridge born into the royal family in 182 years, making her birth historically significant due to recent changes in succession laws. While ""Diana"" is a popular choice among the public, the author argues against it, citing the divisive nature of Diana's legacy and the potential burden it would place on the child. The author suggests that William honors his mother's memory through his actions as a husband and father, rather than by naming his child after her, and proposes alternative names like Alice, Elizabeth, Victoria, Charlotte, or Alexandra.","As the world awaits the impending birth of William and Kate's second baby, potential names have become the topic of rampant speculation and heated debate. Girls' names are causing the biggest stir, as there seems to be a belief that the couple are expecting a princess. If the assumptions are correct, she will be the first Princess of Cambridge born into the royal family in 182 years.",,,,,,,,,
ex_038,no,,"An infertile woman convinced her new husband to repeatedly rape her 15-year-old daughter so she could have another child. Misty Machinshok, 33, has been jailed for 15 to 30 years for the abuse in which she 'coached' the pair on the best positions to conceive, and held her daughter's hand 'the first few times'. She planned to tell friends and family that the teenager got pregnant with a stranger at a house party in their home town of Wilkes-Barre, Pennsylvania. Her 29-year-old husband Gary Machinshok, who she met through a website called onlinebootycall.com, will be sentenced this month after pleading no contest to raping the child 'every few days' throughout 2013. Jailed: Misty Machinshok, 33, pleaded no contest to all […]","Misty Machinshok, 33, was jailed for 15 to 30 years for convincing her husband, Gary Machinshok, to repeatedly rape her 15-year-old daughter in an attempt to conceive a child, as she is infertile. She coached the pair on positions to conceive and held her daughter's hand during the initial assaults. Gary Machinshok pleaded no contest to raping the teenager and sexually assaulting her 11-year-old sister, with both victims now in foster care. The crime was exposed when a friend of the older girl alerted a teacher, who then called the police. Misty Machinshok pleaded guilty to multiple charges, including rape and child endangerment, to protect her daughter from testifying.","Misty Machinshok, 33, has been jailed for 15 to 30 years for the abuse. She 'coached' the pair on the best positions to conceive, and held her daughter's hand 'the first few times' She planned to tell friends and family that the teenager got pregnant with a stranger at a house party in their home town of Wilkes-Barre, Pennsylvania. Her 29-year-old husband, who she met on onlinebootycall.com, will be sentenced this month after pleading no contest to raping the child 'every few days' throughout 2013.",,,,,,,,,
ex_039,no,,"You might think seemingly endless sales would be guaranteed to tempt shoppers through the door. But high street retailers are boosting their fortunes – by scrapping them. Debenhams and Mothercare have called a halt to long-running promotions which fail to excite shoppers, replacing them with shorter events that have more impact. And both have announced revived figures since making the change. Experts claim prolonged sales can devalue products and encourage shoppers to delay buying an item until it is reduced. High street chains, including Mothercare, are calling time on cut-price promotions that seem to go on forever . Figures show a third of all fashion purchases are now made in a sale or promotion, and there have been warnings that […]","High street retailers like Debenhams and Mothercare are abandoning prolonged sales in favor of shorter, more impactful promotions, leading to improved financial results. Experts argue that continuous sales devalue products and train shoppers to wait for discounts, harming profits. Debenhams has reduced sale days by 39 in the past year, focusing on better initial pricing, while Mothercare has shortened its Christmas sales from eight weeks to three. Retail analysts support this shift, stating that constant discounting erodes margins and becomes a self-perpetuating cycle. Both companies report positive customer feedback and stabilized margins since implementing these changes.","Debenhams and Mothercare have called a halt to long-running promotions. Experts claim prolonged sales can devalue products and encourage shoppers to delay buying an item until it is reduced. A third of all fashion purchases are now made in a sale or promotion. There have been warnings that shoppers are being ‘trained’ not to buy at full price, undermining profits.",,,,,,,,,
ex_040,no,,"This is the shocking moment a worker risked his life by standing on top of a house jet washing a roof with what appears to be just a rope tied around him for safety. The unnamed worker was spotted on the roof 30-feet above the ground on top of an Edwardian semi-detached home in Greenwich, south east London. A local resident noticed the man carrying out the work with a lack of safety equipment on the slippery tiles and quickly took snaps of the man. A worker who was caught jet washing the roof of a home in south east London with just a rope tied around him for safety . The neighbour said: 'I couldn't believe it. He was […]","A worker in Greenwich, south east London, was photographed jet washing a roof 30 feet above the ground with only a rope tied around him for safety. A local resident reported the incident, expressing disbelief at the lack of proper safety equipment. A building expert criticized the setup, stating the worker should have had scaffolding and a harness. The Health and Safety Executive (HSE) intervened, serving a prohibition notice to halt the work until appropriate safety measures are implemented.","The unnamed worker was spotted on the roof 30-feet above the ground on top of an Edwardian semi-detached home in Greenwich, south east London. A local resident noticed the man carrying out the work with a lack of safety equipment on the slippery tiles and quickly took snaps of the man. The image was then passed to the Health and Safety Executive, who attended the property and caught the man doing the same thing.",,,,,,,,,
ex_041,no,,"(CNN)It's obvious that Tom Brady's love for his wife, model Gisele Bundchen, will never go out of fashion. Bundchen walked the runway for the last time Wednesday, and the New England Patriots quarterback wasn't just there to support her in person, he expressed his emotions to the world on Facebook. ""Congratulations Love of my Life,"" Brady wrote. ""You inspire me every day to be a better person. I am so proud of you and everything you have accomplished on the runway. I have never met someone with more of a will to succeed and determination to overcome any obstacle in the way. You never cease to amaze me. Nobody loves life more than you and your beauty runs much deeper […]","Tom Brady publicly expressed his admiration and love for his wife, Gisele Bundchen, on Facebook as she retired from runway modeling after 20 years in the industry. Bundchen, the highest-paid model in 2014, announced her retirement to focus on family and special projects. Brady praised her determination and beauty, calling her the ""love of my life"" and using hashtags #GOAT and #thebestisyettocome. The couple, married since 2009 with two children, will now spend more quality time together.","Gisele Bundchen announced her retirement from the catwalk last weekend. She is the face of Chanel and Carolina Herrera and has her own line of lingerie. ""I want to be with my family more and focus on special projects,"" she said in an interview.",,,,,,,,,
ex_042,no,,"Demand for rubber to make tyres is having a ‘catastrophic’ impact on the world’ s forests, scientists have warned. Up to 21 million acres of jungle will be torn down to make way for rubber plantations in the next decade alone, according to researchers at the University of East Anglia. The demand is putting endangered gibbons, leopards and elephants in south east Asia at risk, a study published in the journal Conservation Letters says. A scene of devastation captured on Indonesia's Borneo island. Endangered species in south east Asia at risk . Lead researcher Eleanor Warren-Thomas said: ‘The tyre industry consumes 70 per cent of all natural rubber grown, and rising demand for vehicle and aeroplane tyres is behind the […]","Up to 21 million acres of jungle will be torn down to make way for rubber plantations in the next decade alone. The demand is putting endangered gibbons, leopards and elephants in south east Asia at risk. The tyre industry consumes 70 per cent of all natural rubber grown. Rising demand for vehicle and aeroplane tyres is behind the recent expansion of plantations.","Scientists from the University of East Anglia warn that the growing demand for rubber, primarily driven by the tyre industry, is causing significant deforestation, with up to 21 million acres of jungle expected to be cleared for rubber plantations by 2024. This expansion threatens endangered species in Southeast Asia, including gibbons, leopards, and elephants, as well as protected areas like the Snoul Wildlife Sanctuary in Cambodia. The study, published in Conservation Letters, highlights that 70% of natural rubber is consumed by the tyre industry, leading to biodiversity loss and the decline of various animal species in affected forests.",,,,,,,,,
ex_043,yes,numeric_heavy; multi_entity,Britain's Adam Peaty has broken the men's 100 metres breast stroke world record with a time of 57.92 seconds at the London Aquatic Centre. The 20-year-old from Uttoxeter's gold-winning time on Friday beat the previous record of 58.46 set by South African Cameron van der Burgh in the same venue at the 2012 Olympics. A tweet from British Swimming's account read: 'WORLD RECORD time for @adam-peaty he hits the wall in 57.92!!!!' British swimmer Adam Peaty is all smiles after setting a new world record for the 100m breast stroke . His time of 57.92 seconds has beaten the previous record of 58.46 set by Cameron van der Burgh in 2012 . Peaty has spoken of his delight that his […],Britain's Adam Peaty has broken the men's 100 metres breast stroke world record with a time of 57.92 seconds at the London Aquatic Centre. The 20-year-old from Uttoxeter's gold-winning time on Friday beat the previous record of 58.46 set by South African Cameron van der Burgh in the same venue at the 2012 Olympics.,"Adam Peaty, a 20-year-old British swimmer, broke the men's 100-meter breaststroke world record with a time of 57.92 seconds at the London Aquatic Centre, surpassing Cameron van der Burgh's 2012 record of 58.46 seconds. Peaty expressed delight in his achievement, crediting his hard work and training. In other events, Ben Proud won the men's 50m freestyle, Fran Halsall secured her 10th consecutive title in the women's 50m freestyle, and Rachael Kelly defended her British Championship title in the 100m butterfly.",,,,,,,,,
ex_044,no,,"A nine-year-old boy was whipped with skipping ropes by his adoptive mother – for not knowing the story of Pinocchio. Photographs of the child, who was also beaten with metal rods and water pipes, have sparked outrage across China after they were shared online. His adoptive mother Li has been arrested on suspicion of child abuse after teachers at his school in Nanjing raised the alarm, says The People’s Daily. The nine-year-old boy was whipped with a skipping rope by his adoptive mother, leaving scars over his body . The 50-year-old had adopted the boy after when he was six after was given up by her cousin, who thought she was sending her child to a better life away from […]","The nine-year-old boy was whipped with a skipping rope by his adoptive mother. He was also beaten with metal rods and water pipes, leaving scars. Photographs of the child's horrific injuries were shared online. His adoptive mother Li has been arrested on suspicion of child abuse.","A nine-year-old boy in Nanjing, China, was severely abused by his adoptive mother, who whipped him with skipping ropes, metal rods, and water pipes for not knowing the story of Pinocchio. The abuse was discovered by his school six months ago, but it was only recently reported to authorities after his injuries worsened and he became withdrawn. The adoptive mother, Li, was arrested on suspicion of child abuse, and the boy has been returned to his biological parents. Photographs of his injuries sparked widespread outrage online, and psychologists have been enlisted to support the child.",,,,,,,,,
ex_045,yes,multi_entity,"A 39-year-old man allegedly impregnated his 17-year-old stepdaughter who gave birth alone at home while looking after her three-year-old sister, who then died in her care. Jondrew Lachaux, from Las Vegas, is married to the teenager's mother 38-year-old Kellie Phillips - they have six children together while the teen is from another relationship. Lachaux allegedly sexually assaulted the teenager and she had become pregnant, but she did not know, reports the Review Journal. A 39-year-old man impregnated his 17-year-old stepdaughter who gave birth alone at home while looking after her three-year-old sister, who then died in her care. Jondrew Lachaux (right) is married to the teenager's mother 38-year-old Kellie Phillips, (left) and assaulted her teen daughter . In August, Lachaux […]","Jondrew Lachaux, from Las Vegas, is married to the teenager's mother 38-year-old Kellie Phillips. They have six children together while the teen is from another relationship. She gave birth in her mom's bed - she did not have any medical help and did not take the newborn to the hospital. The teen ran out of food and began to suffer from malnutrition. She stopped breastfeeding after two months because she was so undernourished and switched to baby formula. It was during this period that the three-year old died - the cause of the death is under investigation.","Jondrew Lachaux, 39, allegedly impregnated his 17-year-old stepdaughter, who gave birth alone at home while caring for her three-year-old sister, who later died. Lachaux and the teen's mother, Kellie Phillips, left the girls behind during a six-month road trip, providing insufficient food and medication. The teen, suffering from malnutrition, gave birth without medical assistance and later faced charges of child abuse and concealing evidence. Lachaux was arrested on charges of child abuse and concealing evidence, while Phillips also faces child abuse charges, and their five other children are now in protective services. The 17-year-old stepdaughter also faces charges, with the district attorney questioning whether she should be punished or receive treatment.",,,,,,,,,
ex_046,no,,"Police have blasted motorists who played an impromptu game of football on the M25 after becoming stuck in a major traffic jam. Long tailbacks built up on both sides of the carriageway as a stretch of the motorway between junctions four and five in Ortford, Kent was closed so an air ambulance could land to rescue a seriously injured female motorcyclist. But during the hour-long delay today, Kent Police received reports that people started kicking a ball about in the closed stretch of the road. Motorists who were caught playing football on the M25 after becoming stuck in a major traffic jam on the motorway in Kent . They tweeted: 'We have reports people are playing football in the static […]","Long tailbacks built up on both sides of the carriageway as a stretch of the motorway between junctions four and five in Ortford, Kent was closed. But during the hour-long delay today, Kent Police received reports that people started kicking a ball about. Police tweeted warning motorists to remain inside their vehicles.","A section of the M25 motorway in Kent was closed due to a serious motorcycle accident, causing significant traffic delays. During the closure, some motorists exited their vehicles to play football on the carriageway, prompting a warning from Kent Police about the dangers of leaving vehicles in stationary traffic. Additionally, two teenagers who had crossed the motorway during the closure were stranded when the road reopened and required police assistance to return to their vehicle. The incident followed another serious event in Kent where a coach caught fire on an A2 slip road, causing significant damage.",,,,,,,,,
ex_047,no,,"This is the moment a driver deliberately blocked a sneaky motorist who tried to beat a traffic jam with an undertaking manoeuvre. Traffic had started to build up on the M58 around Switch Island on Merseyside, with one motorist filming the gridlock on a dashcam. But one driver in a silver Mercedes obviously wasn't prepared to wait in the queuing traffic on the outside lane, where vehicles were merging. Traffic began to build up on the M58 around Switch Island in Merseyside when a silver Mercedes attempted to undertake the trafffic . But a Renault driver wasn't happy and pulled into the inside lane to block the Mercedes from moving forwards . He attempted to sail up the inside lane […]",Traffic had started to build up on the M58 around Switch Island on Merseyside when a silver Mercedes attempted to undertake the trafffic. But a Renault driver wasn't happy and pulled into the inside lane to block the Mercedes from moving forwards. The incident was captured on a dashcam by a passing motorist and posted to Youtube by a user called Lancashire Dashcam.,"A silver Mercedes driver attempted to undertake traffic on the M58 near Switch Island in Merseyside to avoid a queue. A Renault driver blocked the Mercedes by pulling into the inside lane, preventing it from advancing. The Mercedes driver tried repeatedly to overtake and undertake the Renault, but the Renault driver swerved to block each attempt. The confrontation lasted over a minute, with both drivers shouting and pointing at each other. Eventually, the Mercedes driver was forced to wait in the queue like everyone else, and the incident was captured on dashcam and shared on YouTube, quickly gaining thousands of views.",,,,,,,,,
